批次	样本	RUN号	参考长度bp	总reads	目标reads	目标占比%	目标read长度p50	目标比对上reads	目标比对率%	平均覆盖	中位覆盖	最低覆盖	≥1x覆盖%	≥5x覆盖%	≥10x覆盖%	准确率%	QV	indel率%	背景reads	背景占比%	背景长度p50	标记	错误
第一批	STR1-1	20260723_250302Y0001_Run0003	1007	55882	27863	49.9	247	27741	99.6	7833.0	2613.0	0	99.8	99.3	99.2	96.131	14.12	2.658	28019	50.1	5964		
第一批	STR1-2	20260723_250302Y0001_Run0003	437	37628	2689	7.1	402	2438	90.7	2014.0	2225.0	230	100.0	100.0	100.0	95.094	13.09	3.611	34939	92.9	5962		
第一批	STR1-5	20260723_250302Y0001_Run0003	1028	89460	44604	49.9	267	44443	99.6	12650.0	3038.0	0	99.4	99.2	99.2	97.486	16.0	1.986	44856	50.1	5966		
第一批	STR1-8	20260723_250302Y0001_Run0003	1039	41389	20286	49.0	274	20129	99.2	5536.0	1209.0	0	99.9	99.8	99.8	96.852	15.02	2.061	21103	51.0	5960		
第一批	STR2-1	20260723_250302Y0001_Run0003	1053	60005	8139	13.6	456	7933	97.5	3550.0	3193.0	0	99.5	99.4	99.3	95.117	13.11	3.765	51866	86.4	5364		
第一批	STR2-2	20260723_250302Y0001_Run0003	986	14372	6234	43.4	50	6116	98.1	671.0	433.0	0	99.3	99.0	98.7	96.129	14.12	3.182	8138	56.6	5362		
第一批	STR2-3	20260723_250302Y0001_Run0003	1006	9241	3934	42.6	50	3801	96.6	407.0	316.0	0	98.3	97.9	97.9	95.65	13.62	3.508	5307	57.4	5361		
第一批	STR2-4	20260723_250302Y0001_Run0003	1010	26984	11870	44.0	49	11691	98.5	1512.0	976.0	0	98.6	98.4	98.0	95.477	13.45	3.689	15114	56.0	5362		
第一批	STR2-9	20260723_250302Y0001_Run0003	1013	34076	14795	43.4	46	14586	98.6	1151.0	496.0	0	94.4	94.4	94.3	97.513	16.04	1.903	19281	56.6	5361		
第一批	STR3-3	20260723_250302Y0001_Run0003	989	32929	2270	6.9	728	2082	91.7	1248.0	1253.0	44	100.0	100.0	100.0	93.363	11.78	4.861	30659	93.1	6231		
第二批	3N-1	20260805_250302Y0001_Run0007	871	7872	4351	55.3	833	4267	98.1	3739.0	4087.0	0	99.5	97.9	97.9	98.704	18.87	1.034	3521	44.7	2726		
第二批	5-3	20260805_250302Y0001_Run0007	784	24213	13898	57.4	751	13693	98.5	12187.0	13351.0	4	100.0	99.2	97.7	99.168	20.8	0.691	10315	42.6	2725		
第二批	5-8	20260805_250302Y0001_Run0007	790	12693	7277	57.3	754	7199	98.9	6359.0	6985.0	1	100.0	97.7	97.7	99.237	21.18	0.639	5416	42.7	2725		
第二批	5-10	20260805_250302Y0001_Run0007	787	25622	14339	56.0	752	13597	94.8	12094.0	13288.0	6	100.0	100.0	97.7	99.128	20.6	0.721	11283	44.0	2725		
第二批	5-12	20260805_250302Y0001_Run0007	789	18824	10831	57.5	753	10585	97.7	9406.0	10345.0	1	100.0	97.7	97.7	99.204	20.99	0.664	7993	42.5	2725		
第二批	5-15	20260805_250302Y0001_Run0007	780	11234	6887	61.3	751	6819	99.0	6083.0	6629.0	4	100.0	98.6	98.5	99.257	21.29	0.626	4347	38.7	2725		
第二批	7-10	20260805_250302Y0001_Run0007	687	11062	6335	57.3	649	6255	98.7	5424.0	6067.0	3	100.0	96.8	96.8	99.325	21.7	0.56	4727	42.7	2725		
第二批	12-9	20260805_250302Y0001_Run0007	677	8877	4218	47.5	648	4130	97.9	3559.0	3925.0	3	100.0	98.2	98.2	99.366	21.98	0.507	4659	52.5	2725		
第二批	25-1	20260805_250302Y0001_Run0007	788	15997	8660	54.1	757	8352	96.4	7454.0	8133.0	0	99.5	97.8	97.8	98.913	19.64	0.858	7337	45.9	2724		
第二批	27-1	20260805_250302Y0001_Run0007	384	14736	7945	53.9	591	7839	98.7	6554.0	7641.0	171	100.0	100.0	100.0	99.327	21.72	0.508	6791	46.1	2725	目标reads显著长于参考(STR扩增?)	
第二批	27-4	20260805_250302Y0001_Run0007	629	12752	6445	50.5	591	6357	98.6	5384.0	6086.0	2	100.0	96.2	96.2	99.213	21.04	0.622	6307	49.5	2725		
第二批	27-9	20260805_250302Y0001_Run0007	377	21369	11631	54.4	589	11402	98.0	9718.0	11172.0	184	100.0	100.0	100.0	99.067	20.3	0.777	9738	45.6	2725	目标reads显著长于参考(STR扩增?)	
第二批	28-1	20260805_250302Y0001_Run0007	738	18961	12424	65.5	705	12113	97.5	10791.0	11898.0	2	100.0	97.4	97.4	99.099	20.45	0.72	6537	34.5	2725		
第二批	28-2	20260805_250302Y0001_Run0007	741	23667	15404	65.1	707	15069	97.8	13323.0	14703.0	1	100.0	97.4	97.4	99.124	20.57	0.7	8263	34.9	2724		
第二批	28-3	20260805_250302Y0001_Run0007	744	11945	8170	68.4	709	8082	98.9	7159.0	7914.0	8	100.0	100.0	98.5	99.031	20.14	0.759	3775	31.6	2725		
第二批	3N-1	20260805_250804Y0004_Run0001	871	10618	6026	56.8	833	5927	98.4	5238.0	5729.0	0	99.4	97.9	97.9	98.632	18.64	1.114	4592	43.2	2723		
第二批	5-3	20260805_250804Y0004_Run0001	784	33689	19724	58.5	751	19435	98.5	17358.0	19039.0	5	100.0	100.0	97.7	98.897	19.57	0.934	13965	41.5	2723		
第二批	5-8	20260805_250804Y0004_Run0001	790	17937	10506	58.6	754	10363	98.6	9165.0	10079.0	1	100.0	97.7	97.7	98.97	19.87	0.884	7431	41.4	2723		
第二批	5-10	20260805_250804Y0004_Run0001	787	33929	19977	58.9	752	19567	97.9	17455.0	19187.0	3	100.0	97.7	97.7	98.93	19.71	0.905	13952	41.1	2723		
第二批	5-12	20260805_250804Y0004_Run0001	789	25488	15336	60.2	753	14986	97.7	13317.0	14649.0	5	100.0	100.0	97.7	98.94	19.75	0.908	10152	39.8	2723		
第二批	5-15	20260805_250804Y0004_Run0001	780	15873	10163	64.0	751	10085	99.2	9076.0	9900.0	0	98.5	98.5	98.5	99.058	20.26	0.809	5710	36.0	2723		
第二批	7-10	20260805_250804Y0004_Run0001	687	15698	9439	60.1	649	9322	98.8	8116.0	9090.0	1	100.0	96.8	96.8	99.371	22.02	0.531	6259	39.9	2723		
第二批	12-9	20260805_250804Y0004_Run0001	677	11920	6027	50.6	648	5896	97.8	5095.0	5620.0	3	100.0	98.2	98.2	99.439	22.51	0.465	5893	49.4	2723		
第二批	25-1	20260805_250804Y0004_Run0001	788	21432	12054	56.2	758	11833	98.2	10573.0	11544.0	0	99.5	97.8	97.8	98.74	19.0	1.062	9378	43.8	2722		
第二批	27-1	20260805_250804Y0004_Run0001	384	21401	12344	57.7	591	12210	98.9	10206.0	11894.0	266	100.0	100.0	100.0	99.392	22.16	0.505	9057	42.3	2723	目标reads显著长于参考(STR扩增?)	
第二批	27-4	20260805_250804Y0004_Run0001	629	17315	9169	53.0	591	9052	98.7	7756.0	8778.0	1	100.0	96.2	96.2	99.312	21.63	0.582	8146	47.0	2723		
第二批	27-9	20260805_250804Y0004_Run0001	377	30384	17329	57.0	589	17020	98.2	14523.0	16670.0	272	100.0	100.0	100.0	99.021	20.09	0.84	13055	43.0	2723	目标reads显著长于参考(STR扩增?)	
第二批	28-1	20260805_250804Y0004_Run0001	738	27212	18513	68.0	705	18142	98.0	16163.0	17834.0	4	100.0	99.2	97.4	98.984	19.93	0.864	8699	32.0	2723		
第二批	28-2	20260805_250804Y0004_Run0001	741	32095	21701	67.6	707	21346	98.4	18971.0	20953.0	5	100.0	100.0	97.4	99.023	20.1	0.835	10394	32.4	2722		
第二批	28-3	20260805_250804Y0004_Run0001	744	16680	11634	69.7	709	11528	99.1	10183.0	11256.0	16	100.0	100.0	100.0	98.867	19.46	0.964	5046	30.3	2723		
第二批	29-1	20260805_250804Y0004_Run0002	675	6521	4316	66.2	646	4260	98.7	3750.0	4162.0	0	98.1	97.9	97.8	98.072	17.15	1.64	2205	33.8	2724		
第二批	29-2	20260805_250804Y0004_Run0002	680	24995	15468	61.9	648	15284	98.8	13443.0	14970.0	3	100.0	97.6	97.5	98.385	17.92	1.4	9527	38.1	2723		
第二批	29-3	20260805_250804Y0004_Run0002	665	18856	12936	68.6	634	12856	99.4	11305.0	12599.0	0	97.3	97.3	97.3	98.617	18.59	1.187	5920	31.4	2723		
第二批	29-5	20260805_250804Y0004_Run0002	664	39364	23682	60.2	631	23439	99.0	20481.0	22899.0	0	99.4	97.4	97.4	98.603	18.55	1.192	15682	39.8	2723		
第二批	29-8	20260805_250804Y0004_Run0002	680	34755	21557	62.0	645	21409	99.3	18687.0	20901.0	2	100.0	97.2	97.2	98.5	18.24	1.284	13198	38.0	2723		
第二批	29-9	20260805_250804Y0004_Run0002	667	13572	9009	66.4	633	8925	99.1	7824.0	8760.0	0	97.2	97.2	97.2	98.604	18.55	1.2	4563	33.6	2723		
第二批	29-10	20260805_250804Y0004_Run0002	664	8475	4764	56.2	48	62	1.3	4.0	0.0	0	7.7	7.7	7.2	99.544	23.41	0.456	3711	43.8	2723	目标分子基本缺失	
第二批	33-3	20260805_250804Y0004_Run0002	782	8553	5154	60.3	1044	4954	96.1	4859.0	4942.0	4115	100.0	100.0	100.0	96.705	14.82	2.066	3399	39.7	2723	目标reads显著长于参考(STR扩增?)	
第二批	33-5	20260805_250804Y0004_Run0002	920	16433	9307	56.6	1021	8879	95.4	8701.0	8775.0	7877	100.0	100.0	100.0	97.986	16.96	1.557	7126	43.4	2723	目标reads显著长于参考(STR扩增?)	
第二批	33-6	20260805_250804Y0004_Run0002	819	19188	11509	60.0	1051	11386	98.9	11167.0	11328.0	9257	100.0	100.0	100.0	97.795	16.57	1.495	7679	40.0	2723	目标reads显著长于参考(STR扩增?)	
第二批	33-11	20260805_250804Y0004_Run0002	975	9463	5133	54.2	1048	4709	91.7	4604.0	4640.0	4196	100.0	100.0	100.0	97.437	15.91	1.736	4330	45.8	2723		
第二批	38-1	20260805_250804Y0004_Run0002	702	25241	14600	57.8	666	13853	94.9	12206.0	13582.0	1	100.0	97.2	97.2	98.986	19.94	0.841	10641	42.2	2723		
第二批	38-2	20260805_250804Y0004_Run0002	698	20781	12523	60.3	666	12435	99.3	11013.0	12179.0	0	99.4	97.4	97.4	99.085	20.38	0.77	8258	39.7	2723		
第二批	38-3	20260805_250804Y0004_Run0002	698	12474	7312	58.6	663	6986	95.5	6125.0	6816.0	0	98.6	97.1	97.1	99.192	20.93	0.678	5162	41.4	2723		
第三批	48-4	20260815_250804Y0004_Run0002	729	24538	18041	73.5	685	17999	99.8	10816.0	11902.0	431	100.0	100.0	100.0	98.758	19.06	1.056	6497	26.5	2723		
第三批	4-1	20260815_250804Y0004_Run0002	664	30632	18366	60.0	623	18166	98.9	15547.0	17588.0	0	99.2	96.5	96.1	99.034	20.15	0.796	12266	40.0	2723		
第三批	40-2	20260815_250804Y0004_Run0002	903	12005	6869	57.2	869	6790	98.8	5911.0	6399.0	5	100.0	100.0	97.8	98.742	19.0	1.044	5136	42.8	2723		
第三批	18-1	20260815_250804Y0004_Run0002	603	39425	27924	70.8	553	27806	99.6	15306.0	17260.0	498	100.0	100.0	100.0	99.103	20.47	0.742	11501	29.2	2723		
第三批	37-1	20260815_250804Y0004_Run0002	719	31840	19045	59.8	684	18953	99.5	16162.0	17915.0	0	99.4	99.4	97.5	97.304	15.69	2.383	12795	40.2	2723		
第三批	20-1	20260815_250804Y0004_Run0002	635	18582	12698	68.3	590	12653	99.6	10526.0	12020.0	4	100.0	98.3	95.6	98.747	19.02	1.018	5884	31.7	2723		
第三批	31-1	20260815_250804Y0004_Run0002	951	25263	18038	71.4	896	17989	99.7	10238.0	11008.0	570	100.0	100.0	100.0	98.979	19.91	0.814	7225	28.6	2723		
第三批	22-1	20260815_250804Y0004_Run0002	334	15600	8397	53.8	652	8286	98.7	7197.0	7970.0	266	100.0	100.0	100.0	98.946	19.77	0.812	7203	46.2	2723	目标reads显著长于参考(STR扩增?)	
第三批	32-1	20260815_250804Y0004_Run0002	553	22104	12874	58.2	739	12724	98.8	11159.0	12340.0	22	100.0	100.0	100.0	98.587	18.5	1.285	9230	41.8	2723	目标reads显著长于参考(STR扩增?)	
第三批	35-2	20260815_250804Y0004_Run0002	727	26282	18210	69.3	694	18064	99.2	15824.0	17485.0	7	100.0	100.0	97.2	99.368	22.0	0.515	8072	30.7	2723		
第三批	85-1	20260815_250804Y0004_Run0002	617	29495	22277	75.5	567	22206	99.7	13506.0	15310.0	460	100.0	100.0	100.0	99.327	21.72	0.531	7218	24.5	2723		
第三批	17-1	20260815_250804Y0004_Run0002	346	36120	21448	59.4	582	21174	98.7	18568.0	20498.0	460	100.0	100.0	100.0	99.14	20.66	0.674	14672	40.6	2723	目标reads显著长于参考(STR扩增?)	
第三批	36-2	20260815_250804Y0004_Run0002	722	27925	18950	67.9	661	18881	99.6	9865.0	10710.0	407	100.0	100.0	100.0	97.877	16.73	1.853	8975	32.1	2723		
第三批	41-1	20260815_250804Y0004_Run0002	777	25810	16338	63.3	749	16199	99.1	14359.0	15631.0	6	100.0	100.0	98.2	99.09	20.41	0.751	9472	36.7	2723		
