批次	样本名	24标签	barcode新编号	barcode原编号	RUN号	DPN名称	服务器	fastq文件	reads数	参考序列	参考长度bp	备注
第一批	STR1-1	24标签-1	barcode-01	Adaptor-barcode251-4	20260723_250302Y0001_Run0003			/data1/ccs_data/str-optimization/first-batch-of-data/20260723_250302Y0001_Run0003/barcode_assign/Barcode01.fastq	28320	/data1/ccs_data/str-optimization/first-batch-of-data/STR第一批一代测序/STR一代测序/merged_output/260623STR1-1.fa	1007	xlsx 未标注 RUN 号，按确认的最新 run 展开
第一批	STR1-2	24标签-2	barcode-02	Adaptor-barcode250-4	20260723_250302Y0001_Run0003			/data1/ccs_data/str-optimization/first-batch-of-data/20260723_250302Y0001_Run0003/barcode_assign/Barcode02.fastq	35293	/data1/ccs_data/str-optimization/first-batch-of-data/STR第一批一代测序/STR一代测序/merged_output/260623STR1-2.fa	437	xlsx 未标注 RUN 号，按确认的最新 run 展开
第一批	STR1-5	24标签-3	barcode-03	Adaptor-barcode271-3	20260723_250302Y0001_Run0003			/data1/ccs_data/str-optimization/first-batch-of-data/20260723_250302Y0001_Run0003/barcode_assign/Barcode03.fastq	45228	/data1/ccs_data/str-optimization/first-batch-of-data/STR第一批一代测序/STR一代测序/merged_output/260623STR1-5.fa	1028	xlsx 未标注 RUN 号，按确认的最新 run 展开
第一批	STR1-8	24标签-4	barcode-04	Adaptor-barcode266-2	20260723_250302Y0001_Run0003			/data1/ccs_data/str-optimization/first-batch-of-data/20260723_250302Y0001_Run0003/barcode_assign/Barcode04.fastq	21595	/data1/ccs_data/str-optimization/first-batch-of-data/STR第一批一代测序/STR一代测序/merged_output/260623STR1-8.fa	1039	xlsx 未标注 RUN 号，按确认的最新 run 展开
第一批	STR2-1	24标签-5	barcode-05	Adaptor-barcode229-0	20260723_250302Y0001_Run0003			/data1/ccs_data/str-optimization/first-batch-of-data/20260723_250302Y0001_Run0003/barcode_assign/Barcode05.fastq	52506	/data1/ccs_data/str-optimization/first-batch-of-data/STR第一批一代测序/STR一代测序/merged_output/260623STR2-1.fa	1053	xlsx 未标注 RUN 号，按确认的最新 run 展开
第一批	STR2-2	24标签-6	barcode-06	Adaptor-barcode255-3	20260723_250302Y0001_Run0003			/data1/ccs_data/str-optimization/first-batch-of-data/20260723_250302Y0001_Run0003/barcode_assign/Barcode06.fastq	8415	/data1/ccs_data/str-optimization/first-batch-of-data/STR第一批一代测序/STR一代测序/merged_output/260623STR2-2.fa	986	xlsx 未标注 RUN 号，按确认的最新 run 展开
第一批	STR2-3	24标签-7	barcode-07	Adaptor-barcode261-3	20260723_250302Y0001_Run0003			/data1/ccs_data/str-optimization/first-batch-of-data/20260723_250302Y0001_Run0003/barcode_assign/Barcode07.fastq	5588	/data1/ccs_data/str-optimization/first-batch-of-data/STR第一批一代测序/STR一代测序/merged_output/260623STR2-3.fa	1006	xlsx 未标注 RUN 号，按确认的最新 run 展开
第一批	STR2-4	24标签-8	barcode-08	Adaptor-barcode206-3	20260723_250302Y0001_Run0003			/data1/ccs_data/str-optimization/first-batch-of-data/20260723_250302Y0001_Run0003/barcode_assign/Barcode08.fastq	15520	/data1/ccs_data/str-optimization/first-batch-of-data/STR第一批一代测序/STR一代测序/merged_output/260623STR2-4.fa	1010	xlsx 未标注 RUN 号，按确认的最新 run 展开
第一批	STR2-9	24标签-9	barcode-09	Adaptor-barcode230-2	20260723_250302Y0001_Run0003			/data1/ccs_data/str-optimization/first-batch-of-data/20260723_250302Y0001_Run0003/barcode_assign/Barcode09.fastq	19895	/data1/ccs_data/str-optimization/first-batch-of-data/STR第一批一代测序/STR一代测序/merged_output/260623STR2-9.fa	1013	xlsx 未标注 RUN 号，按确认的最新 run 展开
第一批	STR3-3	24标签-10	barcode-10	Adaptor-barcode256-3	20260723_250302Y0001_Run0003			/data1/ccs_data/str-optimization/first-batch-of-data/20260723_250302Y0001_Run0003/barcode_assign/Barcode10.fastq	30915	/data1/ccs_data/str-optimization/first-batch-of-data/STR第一批一代测序/STR一代测序/merged_output/260623STR3-3.fa	989	xlsx 未标注 RUN 号，按确认的最新 run 展开
